"SLFCHG01","SLFCHG02","SLFCHG03","SLFCHG04","CSSRAT01","CSSRAT07","SUCCESS4","SATIS13","SATIS01","SATIS02","SATIS07","SATIS15","SATIS25","CSSRAT16","GENACT05","COLACT19","COLACT17","FATHEDUC","MOTHEDUC","RACEGROUP","UndrRepStud_RC","FINCON_RC","FirstGen_RC","INCOME","HSGPA","CITIZEN","PLANLIVE","DSstud_RC","SIFRAT01","SIFRAT07","SIFMAJA","CSSHPW01","CSSHPW02","CSSHPW03","CSSHPW05","CSSHPW08","HistDisadv"
4,4,4,4,4,3,1,2,4,4,4,3,3,1,3,1,2,8,8,3,1,0,0,11,5,2,3,1,4,2,6,4,5,5,3,1,-0.221031462303403
4,4,5,5,4,5,3,5,4,3,4,3,5,5,2,1,2,2,2,3,1,1,1,11,5,2,3,1,4,4,11,5,6,7,7,3,-0.0617836717056655
4,4,4,4,3,5,2,5,4,4,4,4,4,3,2,1,1,6,6,3,1,1,1,2,3,2,3,1,3,4,9,6,7,5,2,1,0.786453876806216
4,4,4,4,3,2,2,2,2,3,3,3,3,2,2,1,2,3,8,4,1,2,0,7,5,2,3,1,3,3,4,4,5,7,5,2,0.356541511069938
5,5,5,5,5,5,3,4,4,4,4,4,4,4,2,1,1,2,3,2,0,1,1,5,8,1,3,1,5,5,5,5,6,4,4,4,0.53724180833509
5,5,5,5,5,5,3,4,4,5,4,5,3,4,2,1,1,6,6,2,0,1,1,12,7,1,1,1,3,4,7,4,6,5,5,5,-0.178046376343604
4,5,4,4,4,5,2,2,5,4,4,4,5,2,2,1,1,3,3,5,1,2,1,10,7,2,3,1,3,5,12,6,6,5,1,1,0.145268840318003
5,5,5,5,4,5,3,4,4,4,4,5,5,5,3,1,2,7,6,4,1,1,1,2,6,1,6,1,4,5,5,5,6,4,4,3,0.861820569461392
4,5,5,5,4,4,3,4,5,5,5,4,4,3,3,1,2,2,5,4,1,1,1,1,6,1,3,1,3,4,11,8,6,6,4,4,1.03837520018204
5,5,5,5,3,3,2,1,4,4,4,4,4,3,2,1,1,6,6,2,0,1,1,12,5,1,3,1,3,3,3,7,6,4,2,1,-0.178046376343604
5,4,4,4,5,3,3,2,4,4,4,3,4,3,3,1,1,8,8,5,1,1,0,10,3,2,3,1,5,2,9,3,4,8,5,3,-0.0152871802604866
5,5,5,5,5,5,3,5,5,5,4,4,5,5,3,1,2,8,6,4,1,0,0,1,8,1,3,1,5,5,2,8,8,8,2,6,0.828563869068396
